,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Total_Bytes,Total_KB
1,2328696.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,34930468.0,34111.78515625
2,2328696.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,34930468.0,34111.78515625
3,2328696.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,2328698.0,34930468.0,34111.78515625
Total,6986088.0,6986094.0,6986094.0,6986094.0,6986094.0,6986094.0,6986094.0,6986094.0,6986094.0,6986094.0,6986094.0,6986094.0,6986094.0,6986094.0,6986094.0,104791404.0,102335.35546875
